date,individual_net_buy_trn,kospi_return_pct,source,generated_at
2025-10-23,0.7505,-0.9815,Naver Finance 개인 순매수(억원→조원),2026-07-19T14:29:25+09:00
2025-10-24,-2.0005,2.4972,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2025-10-27,-0.7969,2.5685,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2025-10-28,1.5728,-0.8019,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2025-10-29,-0.3583,1.7639,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2025-10-30,0.9363,0.1406,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2025-10-31,-0.2018,0.5043,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2025-11-03,0.6256,2.7844,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2025-11-04,2.7009,-2.3717,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2025-11-05,2.5538,-2.8464,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2025-11-06,0.884,0.5501,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2025-11-07,0.6791,-1.8053,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2025-11-10,-1.1607,3.0219,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2025-11-11,-0.283,0.8139,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2025-11-12,-0.4423,1.0715,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2025-11-13,-0.2343,0.4877,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2025-11-14,3.2346,-3.8138,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2025-11-17,-0.5,1.9364,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2025-11-18,1.2382,-3.3167,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2025-11-19,0.445,-0.6098,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2025-11-20,-1.3817,1.9173,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2025-11-21,2.2695,-3.7852,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2025-11-24,-0.4619,-0.1869,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2025-11-25,-0.0276,0.3047,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2025-11-26,-1.8048,2.6723,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2025-11-27,-0.6152,0.6574,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2025-11-28,1.5685,-1.5129,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2025-12-01,0.0528,-0.1584,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2025-12-02,-1.5763,1.9019,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2025-12-03,-0.8984,1.0356,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2025-12-04,0.5585,-0.193,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2025-12-05,-2.1156,1.7758,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2025-12-08,-0.3449,1.3366,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2025-12-09,-0.0133,-0.272,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2025-12-10,-0.0889,-0.2063,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2025-12-11,0.3922,-0.5896,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2025-12-12,-1.4625,1.3755,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2025-12-15,1.421,-1.8375,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2025-12-16,1.241,-2.2359,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2025-12-17,-0.3374,1.4323,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
