asset,date,close,sma30,sma50,sma60,sma100,sma120,sma200,ratio30,ratio50,ratio60,ratio100,ratio120,ratio200,drawdown
KOSPI,2024-05-28,2722.8501,2687.498,2701.646,2695.0883,2644.5278,2628.0982,2572.8094,101.3154,100.7849,101.0301,102.9617,103.6053,105.8318,-1.2419
KOSPI,2024-05-29,2677.3,2687.3473,2700.8168,2695.5052,2644.748,2629.4106,2572.8606,99.6261,99.1293,99.3246,101.2308,101.8213,104.0593,-2.894
KOSPI,2024-05-30,2635.4399,2686.181,2700.1888,2695.3898,2644.4043,2630.2452,2572.9554,98.111,97.6021,97.7758,99.661,100.1975,102.4285,-4.4123
KOSPI,2024-05-31,2636.52,2687.0773,2699.2024,2694.7607,2644.6964,2631.3411,2573.1111,98.1185,97.6777,97.8387,99.6908,100.1968,102.4643,-4.3731
KOSPI,2024-06-03,2682.52,2690.3553,2699.7294,2695.3127,2645.6514,2632.7375,2573.5097,99.7088,99.3626,99.5254,101.3936,101.8909,104.2359,-2.7047
KOSPI,2024-06-04,2662.1001,2691.2687,2699.1686,2695.6562,2646.4916,2634.136,2573.9166,98.9162,98.6267,98.7552,100.5898,101.0616,103.426,-3.4453
KOSPI,2024-06-05,2689.5,2694.5233,2697.8614,2696.3542,2647.7084,2635.7537,2574.4942,99.8136,99.6901,99.7458,101.5784,102.0391,104.4671,-2.4515
KOSPI,2024-06-07,2722.6699,2697.631,2697.3436,2697.0595,2649.3227,2637.6753,2575.082,100.9282,100.9389,100.9496,102.7685,103.2223,105.7314,-1.2484
KOSPI,2024-06-10,2701.1699,2700.236,2696.6156,2697.7483,2650.9146,2639.203,2575.58,100.0346,100.1689,100.1268,101.8958,102.3479,104.8762,-2.0282
KOSPI,2024-06-11,2705.3201,2701.2217,2695.5802,2698.1402,2652.5651,2640.7027,2576.1503,100.1517,100.3613,100.2661,101.9888,102.447,105.0141,-1.8777
